#	Pokémon		Item	Moves				Nature	EVs
									HP	Attack	Defense	Sp. Atk	Sp. Def	Speed
19		Rattata	Cheri Berry	{MoveID:192s,MovePP:10b}	{MoveID:95s,MovePP:25b}	{MoveID:133s,MovePP:30b}	{MoveID:148s,MovePP:30b}	Jolly	-	252	-	-	-	252
543		Venipede	Chesto Berry	{MoveID:17s,MovePP:10b}	{MoveID:279s,MovePP:20b}	{MoveID:21s,MovePP:10b}	{MoveID:16s,MovePP:10b}	Impish	-	252	252	-	-	-
16		Pidgey	Sharp Beak	{MoveID:209s,MovePP:15b}	{MoveID:133s,MovePP:30b}	{MoveID:317s,MovePP:20b}	{MoveID:83s,MovePP:15b}	Jolly	-	252	-	-	-	252
659		Bunnelby	Rawst Berry	{MoveID:244s,MovePP:10b}	{MoveID:192s,MovePP:10b}	{MoveID:79s,MovePP:30b}	{MoveID:132s,MovePP:30b}	Adamant	-	252	-	-	-	252
679		Honedge	Persim Berry	{MoveID:302s,MovePP:20b}	{MoveID:559s,MovePP:30b}	{MoveID:203s,MovePP:20b}	{MoveID:376s,MovePP:40b}	Adamant	-	252	252	-	-	-
74		Geodude	Shuca Berry	{MoveID:284s,MovePP:15b}	{MoveID:60s,MovePP:20b}	{MoveID:40s,MovePP:15b}	{MoveID:281s,MovePP:20b}	Adamant	-	252	252	-	-	-
43		Oddish	Big Root	{MoveID:276s,MovePP:10b}	{MoveID:26s,MovePP:15b}	{MoveID:565s,MovePP:20b}	{MoveID:6s,MovePP:35b}	Modest	170	-	170	-	170	-
421		Cherrim	Persim Berry	{MoveID:398s,MovePP:20b}	{MoveID:336s,MovePP:20b}	{MoveID:19s,MovePP:5b}	{MoveID:30s,MovePP:15b}	Modest	-	-	-	252	-	252
307		Meditite	Cheri Berry	{MoveID:499s,MovePP:20b}	{MoveID:278s,MovePP:10b}	{MoveID:128s,MovePP:25b}	{MoveID:293s,MovePP:5b}	Lonely	-	252	-	-	-	252
261		Poochyena	Black Glasses	{MoveID:95s,MovePP:25b}	{MoveID:206s,MovePP:15b}	{MoveID:47s,MovePP:10b}	{MoveID:554s,MovePP:15b}	Hardy	-	252	-	-	-	252
575		Gothorita	Persim Berry	{MoveID:107s,MovePP:20b}	{MoveID:229s,MovePP:10b}	{MoveID:373s,MovePP:20b}	{MoveID:455s,MovePP:5b}	Calm	-	-	-	252	252	-
577		Solosis	Quick Claw	{MoveID:180s,MovePP:15b}	{MoveID:505s,MovePP:15b}	{MoveID:307s,MovePP:20b}	{MoveID:20s,MovePP:30b}	Modest	-	-	-	252	252	-
177		Natu	TwistedSpoon	{MoveID:508s,MovePP:20b}	{MoveID:484s,MovePP:5b}	{MoveID:147s,MovePP:20b}	{MoveID:26s,MovePP:15b}	Modest	-	-	-	252	-	252
220		Swinub	Persim Berry	{MoveID:265s,MovePP:10b}	{MoveID:448s,MovePP:30b}	{MoveID:220s,MovePP:10b}	{MoveID:21s,MovePP:10b}	Adamant	-	252	252	-	-	-
60		Poliwag	Cheri Berry	{MoveID:108s,MovePP:20b}	{MoveID:505s,MovePP:15b}	{MoveID:130s,MovePP:20b}	{MoveID:394s,MovePP:15b}	Timid	-	-	-	252	-	252
285		Shroomish	Big Root	{MoveID:276s,MovePP:10b}	{MoveID:17s,MovePP:10b}	{MoveID:16s,MovePP:10b}	{MoveID:4s,MovePP:10b}	Modest	252	-	-	252	-	-
309		Electrike	Magnet	{MoveID:301s,MovePP:20b}	{MoveID:133s,MovePP:30b}	{MoveID:123s,MovePP:20b}	{MoveID:95s,MovePP:25b}	Jolly	-	252	-	-	-	252
209		Snubbull	Pecha Berry	{MoveID:565s,MovePP:20b}	{MoveID:134s,MovePP:20b}	{MoveID:95s,MovePP:25b}	{MoveID:298s,MovePP:20b}	Adamant	-	252	252	-	-	-
81		Magnemite	Metal Coat	{MoveID:452s,MovePP:10b}	{MoveID:229s,MovePP:10b}	{MoveID:376s,MovePP:40b}	{MoveID:147s,MovePP:20b}	Modest	-	-	-	252	-	252
246		Larvitar	Passho Berry	{MoveID:187s,MovePP:10b}	{MoveID:95s,MovePP:25b}	{MoveID:60s,MovePP:20b}	{MoveID:47s,MovePP:10b}	Adamant	-	252	-	-	-	252
511		Pansage	Sitrus Berry	{MoveID:15s,MovePP:15b}	{MoveID:251s,MovePP:15b}	{MoveID:94s,MovePP:30b}	{MoveID:36s,MovePP:20b}	Jolly	-	252	-	-	-	252
513		Pansear	Passho Berry	{MoveID:49s,MovePP:15b}	{MoveID:185s,MovePP:15b}	{MoveID:94s,MovePP:30b}	{MoveID:54s,MovePP:15b}	Bashful	-	252	-	-	-	252
515		Panpour	Cheri Berry	{MoveID:217s,MovePP:15b}	{MoveID:225s,MovePP:5b}	{MoveID:399s,MovePP:15b}	{MoveID:94s,MovePP:30b}	Modest	-	-	-	252	-	252
355		Duskull	Ganlon Berry	{MoveID:271s,MovePP:10b}	{MoveID:207s,MovePP:15b}	{MoveID:232s,MovePP:10b}	{MoveID:16s,MovePP:10b}	Modest	-	-	252	252	-	-
92		Gastly	Lax Incense	{MoveID:130s,MovePP:20b}	{MoveID:142s,MovePP:10b}	{MoveID:271s,MovePP:10b}	{MoveID:225s,MovePP:5b}	Timid	-	-	-	252	-	252
66		Machop	Payapa Berry	{MoveID:113s,MovePP:20b}	{MoveID:60s,MovePP:20b}	{MoveID:518s,MovePP:5b}	{MoveID:47s,MovePP:10b}	Adamant	252	252	-	-	-	-
278		Wingull	Sharp Beak	{MoveID:203s,MovePP:20b}	{MoveID:213s,MovePP:20b}	{MoveID:133s,MovePP:30b}	{MoveID:97s,MovePP:20b}	Serious	252	-	-	-	-	252
361		Snorunt	Petaya Berry	{MoveID:450s,MovePP:15b}	{MoveID:84s,MovePP:15b}	{MoveID:95s,MovePP:25b}	{MoveID:220s,MovePP:10b}	Jolly	-	252	-	-	-	252
204		Pineco	Rocky Helmet	{MoveID:218s,MovePP:5b}	{MoveID:279s,MovePP:20b}	{MoveID:215s,MovePP:15b}	{MoveID:246s,MovePP:20b}	Brave	-	252	252	-	-	-
459		Snover	Occa Berry	{MoveID:9s,MovePP:25b}	{MoveID:448s,MovePP:30b}	{MoveID:341s,MovePP:20b}	{MoveID:37s,MovePP:15b}	Adamant	252	252	-	-	-	-
167		Spinarak	Binding Band	{MoveID:589s,MovePP:20b}	{MoveID:433s,MovePP:20b}	{MoveID:197s,MovePP:10b}	{MoveID:559s,MovePP:30b}	Adamant	-	252	252	-	-	-
650		Chespin	Sitrus Berry	{MoveID:5s,MovePP:25b}	{MoveID:2s,MovePP:35b}	{MoveID:93s,MovePP:20b}	{MoveID:39s,MovePP:15b}	Adamant	-	252	252	-	-	-
653		Fennekin	Charcoal	{MoveID:52s,MovePP:15b}	{MoveID:107s,MovePP:20b}	{MoveID:207s,MovePP:15b}	{MoveID:273s,MovePP:30b}	Modest	-	-	-	252	-	252
656		Froakie	Wacan Berry	{MoveID:133s,MovePP:30b}	{MoveID:213s,MovePP:20b}	{MoveID:505s,MovePP:15b}	{MoveID:254s,MovePP:20b}	Hasty	-	-	-	252	-	252
669		Flabébé	Miracle Seed	{MoveID:576s,MovePP:30b}	{MoveID:9s,MovePP:25b}	{MoveID:505s,MovePP:15b}	{MoveID:339s,MovePP:10b}	Docile	-	252	-	252	-	-
436		Bronzor	Rawst Berry	{MoveID:180s,MovePP:15b}	{MoveID:229s,MovePP:10b}	{MoveID:376s,MovePP:40b}	{MoveID:142s,MovePP:10b}	Modest	-	-	-	170	170	170
667		Litleo	Persim Berry	{MoveID:48s,MovePP:15b}	{MoveID:84s,MovePP:15b}	{MoveID:518s,MovePP:5b}	{MoveID:56s,MovePP:15b}	Adamant	-	252	-	-	-	252
165		Ledyba	SilverPowder	{MoveID:161s,MovePP:20b}	{MoveID:375s,MovePP:5b}	{MoveID:255s,MovePP:40b}	{MoveID:26s,MovePP:15b}	Modest	-	-	-	252	-	252
595		Joltik	Liechi Berry	{MoveID:527s,MovePP:15b}	{MoveID:469s,MovePP:20b}	{MoveID:120s,MovePP:40b}	{MoveID:421s,MovePP:10b}	Jolly	-	252	-	-	-	252
443		Gible	Dragon Fang	{MoveID:317s,MovePP:20b}	{MoveID:267s,MovePP:10b}	{MoveID:277s,MovePP:15b}	{MoveID:202s,MovePP:15b}	Adamant	-	252	-	-	-	252
451		Skorupi	Poison Barb	{MoveID:469s,MovePP:20b}	{MoveID:252s,MovePP:15b}	{MoveID:203s,MovePP:20b}	{MoveID:94s,MovePP:30b}	Jolly	-	252	-	-	-	252
403		Shinx	Razor Fang	{MoveID:95s,MovePP:25b}	{MoveID:301s,MovePP:20b}	{MoveID:123s,MovePP:20b}	{MoveID:561s,MovePP:30b}	Jolly	-	252	-	-	-	252
343		Baltoy	Rindo Berry	{MoveID:320s,MovePP:5b}	{MoveID:107s,MovePP:20b}	{MoveID:379s,MovePP:20b}	{MoveID:455s,MovePP:5b}	Quiet	-	-	-	252	252	-
88		Grimer	Payapa Berry	{MoveID:156s,MovePP:20b}	{MoveID:244s,MovePP:10b}	{MoveID:206s,MovePP:15b}	{MoveID:141s,MovePP:10b}	Modest	-	-	-	252	252	-
434		Stunky	Black Glasses	{MoveID:554s,MovePP:15b}	{MoveID:206s,MovePP:15b}	{MoveID:500s,MovePP:20b}	{MoveID:228s,MovePP:15b}	Modest	252	-	-	252	-	-
708		Phantump	Sitrus Berry	{MoveID:341s,MovePP:20b}	{MoveID:208s,MovePP:15b}	{MoveID:36s,MovePP:20b}	{MoveID:4s,MovePP:10b}	Adamant	252	252	-	-	-	-
592		Frillish	Sitrus Berry	{MoveID:108s,MovePP:20b}	{MoveID:136s,MovePP:15b}	{MoveID:30s,MovePP:15b}	{MoveID:34s,MovePP:20b}	Calm	-	-	-	252	252	-
677		Espurr	Persim Berry	{MoveID:107s,MovePP:20b}	{MoveID:324s,MovePP:10b}	{MoveID:123s,MovePP:20b}	{MoveID:505s,MovePP:15b}	Modest	-	-	-	252	-	252
624		Pawniard	Chople Berry	{MoveID:241s,MovePP:20b}	{MoveID:313s,MovePP:35b}	{MoveID:228s,MovePP:15b}	{MoveID:215s,MovePP:15b}	Impish	-	252	252	-	-	-
674		Pancham	Sitrus Berry	{MoveID:64s,MovePP:15b}	{MoveID:62s,MovePP:25b}	{MoveID:37s,MovePP:15b}	{MoveID:94s,MovePP:30b}	Adamant	-	252	252	-	-	-
662		Fletchinder	Sharp Beak	{MoveID:203s,MovePP:20b}	{MoveID:204s,MovePP:20b}	{MoveID:254s,MovePP:20b}	{MoveID:132s,MovePP:30b}	Jolly	-	252	-	-	-	252
318		Carvanha	Mystic Water	{MoveID:471s,MovePP:20b}	{MoveID:95s,MovePP:25b}	{MoveID:37s,MovePP:15b}	{MoveID:138s,MovePP:40b}	Adamant	-	252	-	-	-	252
138		Omanyte	Shell Bell	{MoveID:411s,MovePP:10b}	{MoveID:320s,MovePP:5b}	{MoveID:21s,MovePP:10b}	{MoveID:511s,MovePP:15b}	Bold	-	-	252	-	252	-
397		Staravia	Cheri Berry	{MoveID:203s,MovePP:20b}	{MoveID:133s,MovePP:30b}	{MoveID:74s,MovePP:20b}	{MoveID:303s,MovePP:25b}	Adamant	-	252	-	-	-	252
402		Kricketune	Coba Berry	{MoveID:96s,MovePP:15b}	{MoveID:577s,MovePP:25b}	{MoveID:138s,MovePP:40b}	{MoveID:50s,MovePP:20b}	Adamant	-	252	-	-	-	252
228		Houndour	Chesto Berry	{MoveID:48s,MovePP:15b}	{MoveID:95s,MovePP:25b}	{MoveID:268s,MovePP:10b}	{MoveID:390s,MovePP:40b}	Adamant	-	252	-	-	-	252
96		Drowzee	Focus Band	{MoveID:107s,MovePP:20b}	{MoveID:130s,MovePP:20b}	{MoveID:505s,MovePP:15b}	{MoveID:20s,MovePP:30b}	Modest	-	-	-	252	-	252
608		Lampent	{MoveID:117s,MovePP:25b} Bulb	{MoveID:49s,MovePP:15b}	{MoveID:271s,MovePP:10b}	{MoveID:142s,MovePP:10b}	{MoveID:207s,MovePP:15b}	Modest	252	-	-	252	-	-
163		Hoothoot	Cheri Berry	{MoveID:130s,MovePP:20b}	{MoveID:147s,MovePP:20b}	{MoveID:128s,MovePP:25b}	{MoveID:32s,MovePP:15b}	Modest	-	-	-	252	252	-
431		Glameow	Silk Scarf	{MoveID:185s,MovePP:15b}	{MoveID:30s,MovePP:15b}	{MoveID:241s,MovePP:20b}	{MoveID:228s,MovePP:15b}	Adamant	-	252	-	-	-	252
188		Skiploom	Occa Berry	{MoveID:387s,MovePP:30b}	{MoveID:251s,MovePP:15b}	{MoveID:119s,MovePP:30b}	{MoveID:576s,MovePP:30b}	Adamant	-	252	-	-	-	252
183		Marill	Rindo Berry	{MoveID:505s,MovePP:15b}	{MoveID:108s,MovePP:20b}	{MoveID:336s,MovePP:20b}	{MoveID:429s,MovePP:20b}	Timid	252	-	-	-	-	252
525		Boldore	Rocky Helmet	{MoveID:284s,MovePP:15b}	{MoveID:84s,MovePP:15b}	{MoveID:83s,MovePP:15b}	{MoveID:215s,MovePP:15b}	Adamant	-	252	252	-	-	-
281		Kirlia	Tanga Berry	{MoveID:128s,MovePP:25b}	{MoveID:398s,MovePP:20b}	{MoveID:229s,MovePP:10b}	{MoveID:298s,MovePP:20b}	Mild	-	-	-	252	-	252
363		Spheal	Pecha Berry	{MoveID:144s,MovePP:40b}	{MoveID:363s,MovePP:20b}	{MoveID:311s,MovePP:5b}	{MoveID:60s,MovePP:20b}	Careful	-	252	-	-	252	-
408		Cranidos	Sitrus Berry	{MoveID:187s,MovePP:10b}	{MoveID:84s,MovePP:15b}	{MoveID:261s,MovePP:10b}	{MoveID:47s,MovePP:10b}	Adamant	-	252	-	-	-	252
19		Rattata	Razor Fang	{MoveID:188s,MovePP:15b}	{MoveID:254s,MovePP:20b}	{MoveID:260s,MovePP:15b}	{MoveID:263s,MovePP:15b}	Jolly	-	252	-	-	-	252
543		Venipede	Poison Barb	{MoveID:27s,MovePP:10b}	{MoveID:536s,MovePP:20b}	{MoveID:268s,MovePP:10b}	{MoveID:138s,MovePP:40b}	Impish	-	252	252	-	-	-
16		Pidgey	Scope Lens	{MoveID:75s,MovePP:15b}	{MoveID:28s,MovePP:20b}	{MoveID:303s,MovePP:25b}	{MoveID:360s,MovePP:15b}	Jolly	-	252	-	-	-	252
659		Bunnelby	Silk Scarf	{MoveID:25s,MovePP:20b}	{MoveID:36s,MovePP:20b}	{MoveID:127s,MovePP:10b}	{MoveID:393s,MovePP:5b}	Adamant	-	252	-	-	-	252
679		Honedge	Quick Claw	{MoveID:464s,MovePP:15b}	{MoveID:35s,MovePP:20b}	{MoveID:434s,MovePP:15b}	{MoveID:50s,MovePP:20b}	Adamant	-	252	252	-	-	-
74		Geodude	Smooth Rock	{MoveID:286s,MovePP:5b}	{MoveID:58s,MovePP:10b}	{MoveID:21s,MovePP:10b}	{MoveID:267s,MovePP:10b}	Adamant	-	252	252	-	-	-
43		Oddish	Big Root	{MoveID:276s,MovePP:10b}	{MoveID:38s,MovePP:10b}	{MoveID:16s,MovePP:10b}	{MoveID:21s,MovePP:10b}	Bold	-	-	252	-	252	-
421		Cherrim	Rose Incense	{MoveID:33s,MovePP:10b}	{MoveID:505s,MovePP:15b}	{MoveID:567s,MovePP:10b}	{MoveID:19s,MovePP:5b}	Modest	-	-	-	252	-	252
307		Meditite	Muscle Band	{MoveID:168s,MovePP:10b}	{MoveID:223s,MovePP:10b}	{MoveID:187s,MovePP:10b}	{MoveID:36s,MovePP:20b}	Lonely	-	252	-	-	-	252
261		Poochyena	Razor Fang	{MoveID:259s,MovePP:5b}	{MoveID:260s,MovePP:15b}	{MoveID:127s,MovePP:10b}	{MoveID:23s,MovePP:20b}	Adamant	-	252	-	-	-	252
575		Gothorita	Colbur Berry	{MoveID:129s,MovePP:10b}	{MoveID:122s,MovePP:15b}	{MoveID:418s,MovePP:15b}	{MoveID:455s,MovePP:5b}	Calm	-	-	-	252	252	-
577		Solosis	Sitrus Berry	{MoveID:129s,MovePP:10b}	{MoveID:227s,MovePP:15b}	{MoveID:139s,MovePP:10b}	{MoveID:289s,MovePP:10b}	Modest	-	-	-	252	252	-
177		Natu	Wise Glasses	{MoveID:129s,MovePP:10b}	{MoveID:567s,MovePP:10b}	{MoveID:227s,MovePP:15b}	{MoveID:224s,MovePP:20b}	Modest	-	-	-	252	-	252
220		Swinub	Never-Melt Ice	{MoveID:58s,MovePP:10b}	{MoveID:106s,MovePP:5b}	{MoveID:187s,MovePP:10b}	{MoveID:220s,MovePP:10b}	Hardy	-	170	-	170	-	170
60		Poliwag	Damp Rock	{MoveID:104s,MovePP:15b}	{MoveID:105s,MovePP:10b}	{MoveID:265s,MovePP:10b}	{MoveID:216s,MovePP:5b}	Timid	-	-	-	252	-	252
285		Shroomish	Bright Powder	{MoveID:15s,MovePP:15b}	{MoveID:25s,MovePP:20b}	{MoveID:34s,MovePP:20b}	{MoveID:179s,MovePP:15b}	Jolly	-	252	-	-	-	252
309		Electrike	Air Balloon	{MoveID:457s,MovePP:15b}	{MoveID:94s,MovePP:30b}	{MoveID:554s,MovePP:15b}	{MoveID:20s,MovePP:30b}	Modest	-	-	-	252	-	252
209		Snubbull	King's Rock	{MoveID:450s,MovePP:15b}	{MoveID:48s,MovePP:15b}	{MoveID:449s,MovePP:15b}	{MoveID:608s,MovePP:10b}	Jolly	-	252	-	-	-	252
81		Magnemite	Light Clay	{MoveID:122s,MovePP:15b}	{MoveID:221s,MovePP:10b}	{MoveID:147s,MovePP:20b}	{MoveID:20s,MovePP:30b}	Modest	-	-	252	252	-	-
246		Larvitar	Hard Stone	{MoveID:286s,MovePP:5b}	{MoveID:260s,MovePP:15b}	{MoveID:610s,MovePP:20b}	{MoveID:90s,MovePP:10b}	Adamant	-	252	-	-	-	252
511		Pansage	Salac Berry	{MoveID:15s,MovePP:15b}	{MoveID:260s,MovePP:15b}	{MoveID:251s,MovePP:15b}	{MoveID:228s,MovePP:15b}	Jolly	-	252	-	-	-	252
513		Pansear	Liechi Berry	{MoveID:204s,MovePP:20b}	{MoveID:208s,MovePP:15b}	{MoveID:251s,MovePP:15b}	{MoveID:346s,MovePP:10b}	Jolly	-	252	-	-	-	252
515		Panpour	Shell Bell	{MoveID:159s,MovePP:15b}	{MoveID:251s,MovePP:15b}	{MoveID:260s,MovePP:15b}	{MoveID:225s,MovePP:5b}	Adamant	-	252	-	-	-	252
355		Duskull	Spell Tag	{MoveID:227s,MovePP:15b}	{MoveID:129s,MovePP:10b}	{MoveID:589s,MovePP:20b}	{MoveID:207s,MovePP:15b}	Bold	-	-	252	252	-	-
92		Gastly	Spell Tag	{MoveID:227s,MovePP:15b}	{MoveID:259s,MovePP:5b}	{MoveID:232s,MovePP:10b}	{MoveID:21s,MovePP:10b}	Timid	-	-	-	252	-	252
66		Machop	Black Belt	{MoveID:316s,MovePP:5b}	{MoveID:345s,MovePP:10b}	{MoveID:58s,MovePP:10b}	{MoveID:392s,MovePP:20b}	Adamant	252	252	-	-	-	-
